Date,Close
6/13/24, $441.58 
6/14/24, $442.57 
6/17/24, $448.37 
6/18/24, $446.34 
6/20/24, $445.70 
6/21/24, $449.78 
6/24/24, $447.67 
6/25/24, $450.95 
6/26/24, $452.16 
6/27/24, $452.85 
6/28/24, $446.95 
7/1/24, $456.73 
7/2/24, $459.28 
7/3/24, $460.77 
7/5/24, $467.56 
7/8/24, $466.24 
7/9/24, $459.54 
7/10/24, $466.25 
7/11/24, $454.70 
7/12/24, $453.55 
7/15/24, $453.96 
7/16/24, $449.52 
7/17/24, $443.52 
7/18/24, $440.37 
7/19/24, $437.11 
7/22/24, $442.94 
7/23/24, $444.85 
7/24/24, $428.90 
7/25/24, $418.40 
7/26/24, $425.27 
7/29/24, $426.73 
7/30/24, $422.92 
7/31/24, $418.35 
8/1/24, $417.11 
8/2/24, $408.49 
8/5/24, $395.15 
8/6/24, $399.61 
8/7/24, $398.43 
8/8/24, $402.69 
8/9/24, $406.02 
8/12/24, $406.81 
8/13/24, $414.01 
8/14/24, $416.86 
8/15/24, $421.03 
8/16/24, $418.47 
8/19/24, $421.53 
8/20/24, $424.80 
8/21/24, $424.14 
8/22/24, $415.55 
8/23/24, $416.79 
8/26/24, $413.49 
8/27/24, $413.84 
8/28/24, $410.60 
8/29/24, $413.12 
8/30/24, $417.14 
9/3/24, $409.44 
9/4/24, $408.90 
9/5/24, $408.39 
9/6/24, $401.70 
9/9/24, $405.72 
9/10/24, $414.20 
9/11/24, $423.04 
9/12/24, $427.00 
9/13/24, $430.59 
9/16/24, $431.34 
9/17/24, $435.15 
9/18/24, $430.81 
9/19/24, $438.69 
9/20/24, $435.27 
